GeneSymbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,change
TMIGD3,96.735107,4.732952321,0.745437782,6.349225158,2.16E-10,2.30E-06,UP
AMPH,77.6587177,3.881795489,0.633046011,6.131932623,8.68E-10,4.62E-06,UP
FKBP5,7674.754262,3.273443606,0.553157402,5.917743473,3.26E-09,9.44E-06,UP
CD163,6172.884556,4.496922613,0.761677481,5.903972125,3.55E-09,9.44E-06,UP
ELANE,493.8261438,5.806355479,0.997699723,5.819742499,5.89E-09,1.25E-05,UP
PCSK9,124.7841118,9.610766426,1.695563782,5.668183367,1.44E-08,2.56E-05,UP
CD163L1,80.17000966,7.459161806,1.348790205,5.530260953,3.20E-08,4.86E-05,UP
IFI44,849.6834673,-3.430872736,0.642765684,-5.337672529,9.41E-08,0.000125181,DOWN
NTSR1,486.3643882,3.915835598,0.744689584,5.258346138,1.45E-07,0.000166344,UP
ALOX15B,93.06698653,4.727884481,0.901428195,5.244881962,1.56E-07,0.000166344,UP
GRB10,916.2251262,3.446039503,0.679563397,5.070961029,3.96E-07,0.000355993,UP
S100A12,13393.33436,4.139148413,0.816691088,5.068193435,4.02E-07,0.000355993,UP
WFDC1,37.75605401,4.879231522,0.985657194,4.950231735,7.41E-07,0.000597445,UP
GBP5,7291.06457,-3.404658376,0.689379435,-4.938729241,7.86E-07,0.000597445,DOWN
TARM1,10.49203585,6.616745482,1.350929051,4.897922271,9.69E-07,0.000644597,UP
DEFA1,73.35542094,5.750399537,1.174099235,4.897711681,9.70E-07,0.000644597,UP
MTND1P23,156.2850271,-6.789544365,1.402254136,-4.841878652,1.29E-06,0.000804766,DOWN
IL1R2,12574.63405,4.204149284,0.870745545,4.828217966,1.38E-06,0.000814087,UP
KLF14,32.16508186,5.56827499,1.157588457,4.810237142,1.51E-06,0.000843969,UP
COL17A1,51.4996634,5.11755176,1.075187543,4.759682899,1.94E-06,0.000986431,UP
BPI,558.0766878,4.242626942,0.891532556,4.758802037,1.95E-06,0.000986431,UP
OLFM1,12.93508863,-3.220435681,0.686838436,-4.688781979,2.75E-06,0.001325637,DOWN
IFIT1,839.9515311,-4.556225172,0.97425036,-4.676647151,2.92E-06,0.001325637,DOWN
LAMP3,42.0707185,-4.658657893,0.997264455,-4.671436817,2.99E-06,0.001325637,DOWN
OLFM4,965.4948582,7.319982842,1.587504386,4.611000075,4.01E-06,0.001705053,UP
MPO,901.2978334,4.194057431,0.912768468,4.594875459,4.33E-06,0.001771502,UP
CD24,572.7923911,3.588729914,0.784217343,4.576192997,4.74E-06,0.001833114,UP
S100A8,100662.442,3.357776569,0.734383048,4.572241392,4.83E-06,0.001833114,UP
PDE4B,798.3564019,-2.172536248,0.479416764,-4.531623446,5.85E-06,0.002146918,DOWN
CHCHD1,85.88727226,1.560853063,0.345966221,4.511576469,6.43E-06,0.002281551,UP
GADD45A,1287.943953,3.384074154,0.757433581,4.467816375,7.90E-06,0.002711477,UP
BATF,487.3197743,1.604411069,0.360041906,4.456178695,8.34E-06,0.002773381,UP
SCARF1,866.190596,-2.819029835,0.636622015,-4.428106112,9.51E-06,0.003064234,DOWN
ORM1,242.8732087,4.21589901,0.953529528,4.421361777,9.81E-06,0.003068487,UP
PKD1P5,49.40303755,-1.599923707,0.367126642,-4.357961323,1.31E-05,0.003989774,DOWN
MFSD6L,10.44521148,-3.082225616,0.708849287,-4.348210081,1.37E-05,0.004012604,DOWN
ENSG00000307917,12.5101582,-3.217100915,0.740494905,-4.344528091,1.40E-05,0.004012604,DOWN
SERPINB2,49.54350147,4.497669326,1.043075077,4.311932503,1.62E-05,0.00453007,UP
ENSG00000293966,5.428378325,-3.753609008,0.879632908,-4.267244861,1.98E-05,0.005397648,DOWN
LINC02990,7.930823892,6.206066601,1.457406783,4.258294029,2.06E-05,0.005477866,UP
SERPINB10,78.5056614,4.672964698,1.100179287,4.247457439,2.16E-05,0.005609337,UP
CYYR1,39.95296701,3.083036338,0.730315395,4.221513551,2.43E-05,0.00614584,UP
C1orf56,40.05913627,1.396093589,0.332170722,4.202939919,2.63E-05,0.006456468,UP
VAMP2,1148.959316,-0.981241127,0.233663446,-4.199377974,2.68E-05,0.006456468,DOWN
MT-TQ,46.23525525,-2.943556553,0.701719681,-4.194775536,2.73E-05,0.006456468,DOWN
THAP9-AS1,185.0371391,-1.626139609,0.389412686,-4.175877334,2.97E-05,0.006730296,DOWN
ARMC12,28.20117996,3.360536832,0.804995672,4.174602359,2.99E-05,0.006730296,UP
LINC02988,30.52654739,-2.665773779,0.639171893,-4.170668026,3.04E-05,0.006730296,DOWN
SNED1,55.32507047,-2.156663541,0.521041941,-4.139136162,3.49E-05,0.007567813,DOWN
CEACAM8,188.6385886,4.347821876,1.056008318,4.117223135,3.83E-05,0.00815783,UP
CEACAM6,72.89254055,4.346962111,1.068807186,4.06711535,4.76E-05,0.009815737,UP
TAAR1,9.746605799,6.511592211,1.601972348,4.064734463,4.81E-05,0.009815737,UP
SIMALR,11.8406697,-4.268265518,1.051477714,-4.059301936,4.92E-05,0.009815737,DOWN
SEZ6L,7.401478682,-3.583916408,0.883517237,-4.05641934,4.98E-05,0.009815737,DOWN
HSH2D,1134.464959,-1.643899441,0.405964278,-4.049369685,5.14E-05,0.009932205,DOWN
ZBTB16,1122.368078,3.414841208,0.845410325,4.039270764,5.36E-05,0.010184479,UP
EDNRB,12.00429473,5.148430851,1.277592274,4.029791787,5.58E-05,0.010417967,UP
CDH4,8.628111591,-2.904397888,0.724882799,-4.006713763,6.16E-05,0.011262498,DOWN
HS3ST3B1,293.5936075,2.152181202,0.537604028,4.003283249,6.25E-05,0.011262498,UP
THRB-AS2,55.70325987,-3.037455444,0.760121681,-3.996012114,6.44E-05,0.011420316,DOWN
VIL1,50.39441597,-2.03570045,0.51048186,-3.987801738,6.67E-05,0.011628919,DOWN
ENSG00000297825,15.39480704,3.933982495,0.990154975,3.973097743,7.09E-05,0.012171459,UP
ENSG00000289189,8.642233545,5.745413882,1.452692754,3.955009665,7.65E-05,0.012921685,UP
ENSG00000287839,220.8224879,-2.292882689,0.582761726,-3.934511461,8.34E-05,0.013855705,DOWN
KCNC3,47.83076704,-2.062914864,0.5265,-3.918166885,8.92E-05,0.014601316,DOWN
PPARGC1B,85.8484857,-1.939075692,0.496145227,-3.908282469,9.30E-05,0.014981181,DOWN
ENSG00000258521,8.576547897,-3.474923102,0.890516294,-3.902144323,9.53E-05,0.015074976,DOWN
CLEC4F,13.90505362,-4.289634294,1.100032711,-3.899551578,9.64E-05,0.015074976,DOWN
ENSG00000301805,55.57344241,6.819017729,1.755533986,3.884298329,0.000102626,0.015667418,UP
LDHA,5768.53268,2.073043033,0.533867635,3.883065571,0.000103148,0.015667418,UP
ENSG00000306983,15.85169134,-2.74547365,0.707955077,-3.878033702,0.000105304,0.015667418,DOWN
PTGR1,17.87645649,3.81449055,0.984050511,3.876315808,0.00010605,0.015667418,UP
PLTP,86.02419794,2.818833117,0.729563001,3.863728168,0.000111669,0.01600439,UP
NNMT,20.94453436,7.609511792,1.970382428,3.861946636,0.000112487,0.01600439,UP
ENSG00000301756,14.98865855,4.044143861,1.047387818,3.861171376,0.000112845,0.01600439,UP
TSPO,5006.239195,2.07072464,0.53835541,3.846389582,0.000119871,0.016585788,UP
PTK7,11.02431855,-3.391989396,0.881952904,-3.845998328,0.000120063,0.016585788,DOWN
PLVAP,45.00660797,-2.860670467,0.7446253,-3.841758355,0.000122156,0.016658642,DOWN
ENSG00000289582,37.98239004,-2.359811592,0.614962393,-3.837326671,0.000124381,0.016738423,DOWN
S100A9,177008.5315,2.737713854,0.713993778,3.834366541,0.000125888,0.016738423,UP
ECHDC3,186.3504886,2.667026705,0.696997694,3.826449823,0.000130005,0.017014503,UP
ENSG00000290549,13.52480786,4.157948135,1.087254728,3.824263099,0.000131164,0.017014503,UP
SERINC2,225.4075199,3.010580901,0.788064204,3.820222879,0.000133331,0.017087269,UP
CCNA1,47.52186235,4.676816356,1.228313669,3.80750982,0.000140373,0.017457141,UP
LINC01303,26.54761087,-1.700574312,0.446684027,-3.807107952,0.000140601,0.017457141,DOWN
SHISA4,31.87516267,-1.832955398,0.481575946,-3.806160613,0.000141141,0.017457141,DOWN
ENSG00000303004,6.816973254,5.991972305,1.577048615,3.799484841,0.000144997,0.017727989,UP
ENSG00000280027,30.95445206,-2.903668598,0.765230846,-3.794500198,0.000147941,0.017882388,DOWN
CREB3L1,6.716228093,5.972903985,1.575346776,3.7914852,0.000149749,0.017897538,UP
IDH1,526.9779644,1.523239818,0.402563803,3.783846947,0.000154423,0.01825106,UP
ENSG00000307222,48.90342791,-2.330094665,0.620072317,-3.757778892,0.000171428,0.020038267,DOWN
CD55,4815.178273,2.423506945,0.648998244,3.734227276,0.000188292,0.021770286,UP
CD63,5585.601263,2.203607071,0.5907453,3.730215154,0.000191316,0.021811966,UP
PML,1173.676173,-1.626873403,0.436354634,-3.728328464,0.000192754,0.021811966,DOWN
ENSG00000267737,15.25760509,2.689001731,0.721829574,3.725258467,0.000195115,0.021841356,UP
UGCG,889.4777859,2.326864411,0.625051129,3.722678517,0.00019712,0.021841356,UP
MT-TM,81.13670691,-2.347759788,0.631687539,-3.716647302,0.000201884,0.022097094,DOWN
C14orf119,419.8283413,1.359834079,0.366085288,3.714528076,0.000203583,0.022097094,UP
EFNA1,11.81801639,3.066294375,0.826655729,3.709276143,0.000207853,0.022332611,UP
FLT3,141.1049947,2.395685385,0.646532958,3.70543428,0.000211029,0.022447138,UP
NR2E1,6.56385517,5.349420086,1.447527824,3.695555966,0.000219406,0.02310716,UP
ENSG00000124593,10.47823118,2.23153922,0.605211812,3.687203679,0.000226732,0.023450873,UP
SERPINB1,7988.342412,2.120748856,0.575568153,3.684618136,0.000229046,0.023450873,UP
ENSG00000290427,15.61380633,-3.533765767,0.959351941,-3.683492592,0.00023006,0.023450873,DOWN
LINC00824,7.153490483,-2.895467734,0.7864026,-3.681915262,0.000231488,0.023450873,DOWN
ENSG00000281100,40.18639482,-2.229923295,0.606823497,-3.674747774,0.000238084,0.023891555,DOWN
ENSG00000309517,10.25004926,-4.656816485,1.268098997,-3.672281499,0.000240395,0.023897926,DOWN
ANXA1,5715.824626,1.719880056,0.469899957,3.660098347,0.000252118,0.024831334,UP
KL,51.31575891,3.334192742,0.912803217,3.652696092,0.000259501,0.025323993,UP
MYO7A,131.5033227,2.698497885,0.740891392,3.642231391,0.000270285,0.025916272,UP
ENSG00000236846,17.6239894,4.03850992,1.10884694,3.642080591,0.000270443,0.025916272,UP
ENSG00000298426,41.2841825,8.593528251,2.36193153,3.638347742,0.000274393,0.02595543,UP
C3orf86P,64.06464116,2.605967637,0.716497356,3.637093165,0.000275732,0.02595543,UP
LINC03015,25.52259788,1.416332653,0.390187895,3.629873379,0.00028356,0.026458164,UP
CDHR1,64.8834979,3.133470098,0.865390897,3.620872496,0.000293611,0.027157759,UP
ENKUR,50.80258914,-2.599934844,0.719095975,-3.615560279,0.000299699,0.02732545,DOWN
CDO1,8.503871614,3.782412058,1.046363887,3.614815176,0.000300562,0.02732545,UP
ENSG00000279236,8.858325666,-3.420769427,0.947114502,-3.611780221,0.000304102,0.027413013,DOWN
COL19A1,12.87257725,-1.813285147,0.502809979,-3.606303022,0.00031059,0.027762608,DOWN
ENSG00000296207,31.79481499,2.928253909,0.812970345,3.601919711,0.000315876,0.027999769,UP
H2BC9,45.52107239,-1.938734244,0.540743258,-3.585313761,0.000336673,0.029596634,DOWN
SGMS2,191.0646495,2.444088125,0.683109141,3.577888184,0.000346382,0.03000858,UP
RAB33A,49.45889014,2.174003822,0.608194967,3.574517944,0.000350874,0.03000858,UP
IGHV3-73,8.042463211,2.830389098,0.791852062,3.57439127,0.000351044,0.03000858,UP
CAP1P2,33.54763222,1.752217726,0.490377597,3.573201014,0.000352644,0.03000858,UP
TIMP4,5.54629003,5.692838789,1.595583655,3.567872341,0.000359892,0.030316529,UP
XAF1,247.0223854,-2.69755821,0.756388052,-3.566368087,0.000361963,0.030316529,DOWN
CAMSAP3,8.791292492,3.114438441,0.873890848,3.563875797,0.000365419,0.030357286,UP
L1TD1,9.461987515,-2.51933461,0.707576033,-3.560514334,0.000370129,0.030357286,DOWN
LENG9,43.69007068,1.504678613,0.422675687,3.559889197,0.000371011,0.030357286,UP
ENSG00000294637,49.89475672,5.466659521,1.537122837,3.556423332,0.000375938,0.030525602,UP
RGMA,12.480793,3.635018702,1.023208906,3.552567496,0.000381491,0.030741827,UP
HK3,11306.21834,2.281036682,0.643609772,3.54412997,0.000393911,0.031486327,UP
MRPL36,87.52981624,1.432477975,0.404391757,3.542302607,0.00039665,0.031486327,UP
ENSG00000303658,24.97741299,-2.74960789,0.778390126,-3.532429044,0.000411761,0.032443694,DOWN
ENSG00000250696,6.42702522,-3.9612463,1.123576315,-3.525569423,0.000422573,0.033050833,DOWN
ENSG00000298154,9.674179216,-3.398203087,0.965485213,-3.51968424,0.000432061,0.033546213,DOWN
TMEM187,71.73239654,1.379158439,0.393949352,3.500852153,0.000463773,0.035747493,UP
DHFR2,72.28480297,1.15110765,0.330005725,3.488144489,0.000486385,0.036800062,UP
KBTBD6,53.72088342,1.975763764,0.566488257,3.487740016,0.000487121,0.036800062,UP
ENSG00000254639,13.59364396,3.608776795,1.034815158,3.487363677,0.000487808,0.036800062,UP
PTK6,15.39468818,-1.839897706,0.528870765,-3.478917399,0.000503444,0.037712191,DOWN
GALNT2,1461.859259,2.108695951,0.606712198,3.475611599,0.00050969,0.037913085,UP
ENSG00000272256,11.96528487,-2.383991251,0.687172197,-3.469277804,0.00052186,0.038296421,DOWN
DAAM2-AS1,11.52791542,5.180236753,1.49321523,3.469182908,0.000522044,0.038296421,UP
KCNJ10,6.541190971,-3.420180077,0.987589064,-3.463161149,0.000533869,0.038895615,DOWN
ENSG00000288758,31.73653386,-2.862901122,0.8275508,-3.459486865,0.000541206,0.039161937,DOWN
UICLM,26.97799105,-3.269537932,0.945904601,-3.456519748,0.000547199,0.039196697,DOWN
PTP4A2P2,12.44819522,-2.931779509,0.848412392,-3.455606655,0.000549056,0.039196697,DOWN
ENSG00000309597,11.66447268,2.543269101,0.736630714,3.452569993,0.000555273,0.039376287,UP
ENSG00000295821,8.813665409,-3.273070633,0.948637832,-3.450284736,0.000559996,0.039448165,DOWN
ENSG00000278239,6.642460279,-3.408030085,0.991421417,-3.437519129,0.000587069,0.041083261,DOWN
CARINH,405.5813038,-1.879271397,0.548381357,-3.426942534,0.000610418,0.042285082,DOWN
CYP4F22,43.24850484,-2.951019888,0.861321477,-3.426153841,0.000612194,0.042285082,DOWN
RAB9A,165.7726243,0.80100757,0.234605819,3.414269837,0.000639532,0.043888401,UP
ENSG00000293498,13.77166523,3.282702201,0.962457202,3.410751349,0.000647841,0.044173649,UP
LAMB3,42.61694732,2.521369311,0.73971663,3.408561075,0.000653065,0.04424617,UP
TAP2,1197.480101,-1.653054899,0.485438358,-3.405282814,0.000660956,0.044299511,DOWN
SCRG1,7.673740149,4.575496513,1.343846203,3.404776904,0.000662181,0.044299511,UP
ENSG00000230107,8.771934431,-2.360438045,0.694247594,-3.39999456,0.000673872,0.044799849,DOWN
BAIAP2,81.52129747,-1.142275044,0.336769037,-3.391864806,0.000694187,0.04546915,DOWN
PTGS2,1115.794134,-2.910696207,0.858362567,-3.390986886,0.000696414,0.04546915,DOWN
ACBD7,9.363596347,3.609715231,1.064545964,3.390849575,0.000696763,0.04546915,UP
MMP9,11796.24113,2.995964698,0.884611598,3.386757198,0.000707239,0.045871381,UP
AKR1C1,25.76735751,2.392855989,0.709469297,3.372740721,0.00074424,0.047978671,UP
MT-TI,74.17504776,-2.452449198,0.72821123,-3.367771734,0.000757783,0.048557462,DOWN
ENSG00000286035,54.72951198,2.753664701,0.818117696,3.365853979,0.000763071,0.048603505,UP
TPST1,356.0336436,2.444976303,0.72793894,3.358765644,0.000782914,0.049407913,UP
ENSG00000270083,7.670224977,-2.245313459,0.668770761,-3.357373843,0.000786866,0.049407913,DOWN
CGAS,246.0322282,1.369029314,0.407885884,3.356402777,0.000789635,0.049407913,UP
CA6,8.441987461,-2.545378002,0.758824624,-3.354369273,0.000795461,0.049481414,DOWN
BSND,13.54691329,4.677834835,1.397514971,3.347252037,0.00081617,0.050297543,UP
CD46P1,4.441593976,5.337839635,1.595504224,3.345550299,0.000821195,0.050297543,UP
FAUP4,49.03998191,2.077052823,0.620938874,3.345019792,0.000822767,0.050297543,UP
IFIH1,509.699597,-1.772988427,0.530301334,-3.3433603,0.000827704,0.050310188,DOWN
LYNX1,37.50167302,-2.66772563,0.799338713,-3.337415774,0.000845613,0.050690842,DOWN
UBL5,941.4070277,1.335179959,0.400115854,3.336983387,0.00084693,0.050690842,UP
CST7,6906.299845,2.108931686,0.632070239,3.336546408,0.000848263,0.050690842,UP
ENSG00000287883,19.89300586,3.121588035,0.937078322,3.331192239,0.000864749,0.051304299,UP
MAFA-AS1,9.826363152,3.936012583,1.181953301,3.330091451,0.000868175,0.051304299,UP
ENSG00000272396,12.49270894,5.096937217,1.533271322,3.324223928,0.00088665,0.052106487,UP
WDFY1,420.9613842,-1.125601351,0.338762303,-3.32268774,0.000891547,0.052106487,DOWN
CCDC141,7.383835727,-2.477664253,0.747930122,-3.312694835,0.000924017,0.053709143,DOWN
GAPDH,14940.35427,1.322239347,0.399700151,3.308078179,0.000939386,0.05430569,UP
G0S2,451.5924541,-2.400976161,0.726768833,-3.303631156,0.000954413,0.054586196,DOWN
ENSG00000288970,5.784282279,-3.389057513,1.026118151,-3.302794624,0.000957265,0.054586196,DOWN
SPRY1,26.6896583,2.905856436,0.880363199,3.300747284,0.000964277,0.054586196,UP
LINC01127,511.0163747,2.779412345,0.8420917,3.30060532,0.000964765,0.054586196,UP
DLC1,39.91128362,2.44196275,0.741602632,3.292818344,0.000991885,0.05554197,UP
CDKN1C,305.8249563,-2.803901864,0.851536139,-3.292757333,0.000992101,0.05554197,DOWN
IFI6,954.2601961,-2.309992208,0.702216651,-3.289571965,0.001003399,0.05588039,DOWN
HDC,42.20982296,-3.166110785,0.96594456,-3.27773551,0.001046434,0.057973532,DOWN
RLN3,4.909590673,4.931696511,1.506457293,3.273704826,0.001061474,0.058502083,UP
RNU4-47P,8.431373423,-2.117398863,0.647362577,-3.270808257,0.001072406,0.058799908,DOWN
STN1,116.4823204,-1.52953378,0.468266492,-3.266374612,0.00108934,0.059133726,DOWN
CROCC2,10.79173987,-3.281597358,1.00468221,-3.266303838,0.001089613,0.059133726,DOWN
TTC34,10.13975366,-2.308065955,0.707411694,-3.262691264,0.001103597,0.05942028,DOWN
ENSG00000302062,49.08222559,3.038613543,0.931502004,3.262057977,0.001106065,0.05942028,UP
SDR42E1P5,16.99157888,4.465496889,1.373072624,3.252192792,0.001145183,0.061196179,UP
MS4A4A,573.5836591,2.94780529,0.906781445,3.2508443,0.001150629,0.061196179,UP
ENSG00000306635,8.982660486,5.195100199,1.601465018,3.243967331,0.001178773,0.062141462,UP
KCND3,8.571147184,-2.40057083,0.740083159,-3.243650123,0.001180086,0.062141462,DOWN
CD177,22218.99347,4.205024963,1.302037399,3.229573103,0.001239752,0.064961774,UP
GCLM,367.4542019,1.701947692,0.527451496,3.226737824,0.001252101,0.065005305,UP
MYBL1,134.0514916,-1.68936627,0.523578472,-3.226577024,0.001252805,0.065005305,DOWN
FAM200A,35.50920678,1.188765597,0.368890158,3.222546254,0.001270567,0.065401938,UP
ENSG00000300565,44.54683905,-1.836855831,0.570088259,-3.222055185,0.001272746,0.065401938,DOWN
RHAG,96.06933377,3.323882817,1.032095504,3.220518647,0.001279589,0.065437427,UP
IRS1,46.27757612,-1.471507162,0.457220035,-3.218378571,0.001289175,0.065612244,DOWN
LINC00539,42.2300036,2.024333631,0.62958246,3.215359004,0.001302815,0.065990671,UP
MT-TG,80.67009883,-1.830574227,0.57059857,-3.208164762,0.001335849,0.067343273,DOWN
ENSG00000223884,16.19084246,-2.270557837,0.711174058,-3.192689346,0.001409545,0.070465781,DOWN
ERG,34.83580437,2.89582705,0.907139675,3.192261489,0.001411635,0.070465781,UP
PDGFC,215.6600633,2.416847616,0.757387789,3.191030608,0.001417663,0.070465781,UP
BCL2,468.128134,-1.456002145,0.458293544,-3.177007761,0.001488031,0.073619446,DOWN
COX6B2,12.22914993,2.80859601,0.885724945,3.170957332,0.001519375,0.074822164,UP
TMEM169,45.43916581,2.266052162,0.715327123,3.167854383,0.001535684,0.075276832,UP
ENSG00000293441,228.7819923,1.709677366,0.542117834,3.153700653,0.001612144,0.078662254,UP
ENSG00000270210,32.13443411,2.591390354,0.825057737,3.140859407,0.001684529,0.081636265,UP
TIMM8B,167.754926,1.324925349,0.42192664,3.140179411,0.001688444,0.081636265,UP
AHDC1,131.8069104,-1.060752733,0.338204999,-3.136419435,0.001710244,0.082262346,DOWN
PGD,10971.92736,1.999608413,0.637897654,3.134685321,0.001720385,0.082262346,UP
ENSG00000262714,40.32847555,-3.0819644,0.983406312,-3.133968497,0.001724594,0.082262346,DOWN
MFF,564.0360659,1.046248591,0.335061025,3.122561304,0.001792848,0.085136251,UP
NLRC4,613.6847617,2.198540462,0.705055867,3.118250009,0.001819284,0.085652475,UP
BNIP3P11,12.12460697,-1.776782338,0.569817074,-3.118162687,0.001819823,0.085652475,DOWN
ALS2CL,45.46134197,-2.032613819,0.653908834,-3.108405505,0.001880998,0.087772476,DOWN
MOV10,517.8389113,-1.32902963,0.427567951,-3.10834717,0.001881369,0.087772476,DOWN
MYL6B,68.96736723,1.839938858,0.59237319,3.106046812,0.001896067,0.088071204,UP
LPO,4.469518127,5.373999863,1.731333811,3.10396518,0.001909458,0.088071204,UP
RGL4,1118.75898,2.220205982,0.7153931,3.103476929,0.001912611,0.088071204,UP
ZNF691,52.80680813,1.111326984,0.358387984,3.100904699,0.001929304,0.088185608,UP
ANG,24.46332792,2.087471687,0.673260541,3.100540669,0.001931677,0.088185608,UP
SIRT5,229.2653783,1.511726884,0.488766399,3.092943555,0.001981818,0.090088038,UP
MYO1B,31.14019243,2.476613023,0.802934169,3.084453395,0.002039266,0.092269782,UP
LINC00482,29.67891579,2.58332556,0.838280039,3.08169757,0.002058238,0.092269782,UP
APBB2,17.38166507,2.28747535,0.742450914,3.080978562,0.002063215,0.092269782,UP
MT-TH,54.65310388,-1.561642488,0.506958256,-3.080416322,0.002067114,0.092269782,DOWN
ENSG00000285531,8.240418397,-1.895928475,0.615652583,-3.079542793,0.002073186,0.092269782,DOWN
ZBTB3,37.64950353,1.056227583,0.344335477,3.06743758,0.002159025,0.095624254,UP
GJA4,12.31389829,2.875736148,0.938335739,3.064719831,0.00217874,0.095624254,UP
LZTS1,5.435458148,-2.210194162,0.721293563,-3.06420891,0.002182464,0.095624254,DOWN
ADM2,36.1626368,1.493501589,0.487446719,3.06392787,0.002184516,0.095624254,UP
CTSD,10032.68999,1.932998678,0.633884594,3.0494489,0.002292616,0.099877755,UP
PINLYP,9.857306761,2.521654315,0.82752058,3.047240607,0.002309528,0.099877755,UP
SNCA,1116.426792,-1.709856101,0.561388033,-3.045765138,0.00232089,0.099877755,DOWN
ENSG00000296162,8.878649223,2.455667547,0.806744874,3.043920855,0.002335166,0.099877755,UP
ANAPC15,72.87917703,1.12741031,0.370397266,3.043786803,0.002336206,0.099877755,UP
GBP4,1202.945524,-2.255195626,0.741221242,-3.042540469,0.002345903,0.099877755,DOWN
COPS5,442.4845763,0.658025294,0.216366648,3.041251049,0.002355973,0.099877755,UP
ENSG00000302023,51.95422704,2.967940755,0.975928733,3.041144969,0.002356803,0.099877755,UP
CHRM4,14.53405376,-1.779401826,0.587306281,-3.029768087,0.002447416,0.10291272,DOWN
IL1RL2,5.232785797,4.394816233,1.450566283,3.029724518,0.002447769,0.10291272,UP
ENSG00000288933,4.27705225,-3.055524884,1.010465185,-3.023879428,0.002495559,0.104426872,DOWN
SPRED2,60.39976884,1.444314884,0.477786722,3.022928052,0.002503418,0.104426872,UP
IGLV1-36,8.263214945,3.200093546,1.059347664,3.020815219,0.002520952,0.104747506,UP
ZCWPW1,83.34900323,-1.431609132,0.474234044,-3.018781868,0.002537932,0.105042731,DOWN
ARHGAP5,83.27803507,-1.361676149,0.451372684,-3.016744695,0.002555049,0.105341306,DOWN
YTHDF3-DT,5.278432993,2.829855262,0.93850941,3.015265732,0.002567542,0.105447661,UP
LDLR,487.3715088,1.481799898,0.491713614,3.013542548,0.002582168,0.105640478,UP
IGLC6,7.138672702,3.388569853,1.125043634,3.011945272,0.002595794,0.105791034,UP
NRIP2,30.51973357,-1.371264813,0.455676864,-3.009292161,0.002618572,0.106312013,DOWN
ENSG00000306963,88.02982407,-2.299066154,0.765319073,-3.004062275,0.002664008,0.107745445,DOWN
NUB1,917.2122198,-1.06630022,0.355146214,-3.00242598,0.002678371,0.107916031,DOWN
TSPAN2,549.0700022,1.670111172,0.557491747,2.995759457,0.002737623,0.109887152,UP
ENSG00000305228,9.271657695,2.993664424,0.999925534,2.993887367,0.002754476,0.110147978,UP
COL4A2,11.1341413,3.147422541,1.052590339,2.990168562,0.002788235,0.110868895,UP
NHERF4,12.5913332,-2.472542276,0.82704544,-2.989608741,0.00279335,0.110868895,DOWN
B4GALNT3,31.54759851,-2.094048375,0.700846207,-2.987885723,0.002809146,0.11107861,DOWN
ENSG00000279693,6.28571265,-2.660716596,0.890993302,-2.986236359,0.002824343,0.11107861,DOWN
ADGRD1,13.15968615,2.922648437,0.979070062,2.985126959,0.002834606,0.11107861,DOWN
ENSG00000262712,7.457626532,2.937804353,0.984353322,2.984501893,0.002840404,0.11107861,UP
RHBDD2,961.3298774,1.221234873,0.409542807,2.981946826,0.002864217,0.111119901,UP
PARAIL,41.21847834,-1.38120308,0.463371302,-2.980769579,0.00287525,0.111119901,DOWN
ENSG00000299361,46.27964402,2.73929305,0.919189522,2.980117793,0.002881376,0.111119901,UP
ENSG00000273449,6.090715261,-1.936933299,0.649995293,-2.979918964,0.002883246,0.111119901,DOWN
ENSG00000277117,7.780052646,-2.622492689,0.880694299,-2.97775595,0.002903671,0.111503059,DOWN
KCNK7,79.02750542,-1.438230867,0.483696854,-2.973413729,0.002945072,0.112500163,DOWN
DYNLT5,32.60851673,2.614658303,0.879521687,2.972818455,0.002950789,0.112500163,UP
TXN,1128.884054,1.72461776,0.580463649,2.971103812,0.002967315,0.112567615,UP
NPIPA9,40.69593605,-1.791747576,0.603192417,-2.970441147,0.002973724,0.112567615,DOWN
ENSG00000254810,31.39192147,-1.968147774,0.663019066,-2.968463313,0.002992928,0.11289283,DOWN
ENSG00000310430,15.55124364,-1.823508942,0.614953673,-2.965278558,0.00302409,0.11345745,DOWN
TRDJ1,6.589650849,-2.770166069,0.934365578,-2.964756123,0.00302923,0.11345745,DOWN
OBSCN,237.5108729,-1.615613302,0.545318494,-2.962696701,0.003049569,0.113818473,DOWN
FERMT2,5.675487526,3.44146578,1.163178905,2.958672793,0.00308967,0.114023519,UP
APOL2,1254.277812,-1.37814341,0.465798732,-2.958667156,0.003089726,0.114023519,DOWN
LAMTOR2,273.1414229,1.320202553,0.446219284,2.958640741,0.003089991,0.114023519,UP
XCR1,18.65586772,1.796674112,0.607610752,2.956949177,0.003106993,0.114023519,UP
SCART1,24.07029105,-1.756887646,0.594386522,-2.955799938,0.003118593,0.114023519,DOWN
TNFAIP2,6432.000193,-1.671211097,0.565415498,-2.955722124,0.00311938,0.114023519,DOWN
ENSG00000228559,5.977359768,3.726378612,1.261816854,2.953185004,0.003145134,0.114437454,UP
ENSG00000236403,9.042225377,-2.490277426,0.843449858,-2.952490184,0.003152221,0.114437454,DOWN
NMNAT2,10.71076793,3.454923553,1.173296083,2.944630603,0.003233404,0.116985454,UP
