GeneSymbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,change
FASTKD3,58.00457871,0.876892129,0.401061822,2.186426331,0.028784429,0.354171585,UP
CYP51A1,13.59595966,1.452211411,0.664263787,2.186196867,0.028801205,0.354171585,UP
SLC1A7,12.14466186,-2.24396532,1.026754433,-2.185493677,0.028852669,0.354394736,DOWN
SATB2-AS1,7.164142283,2.260683461,1.034852898,2.184545713,0.028922172,0.35483869,UP
LINC01907,9.208201253,1.829781857,0.838588479,2.181978293,0.029111135,0.356600768,UP
PPP1R10,814.1467778,0.813887229,0.373169749,2.181010734,0.029182623,0.356600768,UP
ACO1,178.9713695,-0.988904501,0.453628135,-2.179989345,0.029258251,0.356600768,DOWN
ZNF66,42.8743203,-1.504440319,0.690154757,-2.179859376,0.029267887,0.356600768,DOWN
TIGD3,30.66620304,-1.40371475,0.644157542,-2.179148203,0.02932066,0.356600768,DOWN
BANF1P3,5.154264792,2.974386524,1.365406865,2.178388436,0.02937713,0.356600768,UP
ZXDB,68.48257171,-1.233070296,0.566105942,-2.178161728,0.029393998,0.356600768,DOWN
SLC16A3,5051.28626,1.36674481,0.627508246,2.178050758,0.029402258,0.356600768,UP
WNT11,13.38339128,1.606938369,0.737847762,2.177872527,0.029415528,0.356600768,UP
IGSF9B,70.51843398,-1.579343665,0.725248821,-2.177657678,0.029431532,0.356600768,DOWN
KCTD15,69.29279117,-1.316088083,0.604478835,-2.17722773,0.02946358,0.356600768,DOWN
PPP2R3B,46.85853061,1.576415381,0.724195538,2.176781405,0.029496881,0.356600768,UP
PXK,1072.272557,1.305409855,0.599714734,2.176717996,0.029501615,0.356600768,UP
CR1,8263.124202,2.031167412,0.933778121,2.175214183,0.02961407,0.357262684,UP
RNASE2CP,34.26609894,1.614218265,0.74213941,2.175087651,0.029623549,0.357262684,UP
ZNF780A,153.6747584,0.989963185,0.455428115,2.173698005,0.029727823,0.357938189,UP
SLC25A24,456.7486042,1.174587577,0.540426705,2.173444737,0.029746861,0.357938189,UP
KCNMB1,35.90463913,-0.93463182,0.430118496,-2.172963564,0.02978306,0.35796882,DOWN
ENC1,118.0248219,-0.79397036,0.365516627,-2.172186708,0.029841583,0.358212498,DOWN
ERVK3-1,67.26280902,-0.802980401,0.369730214,-2.171800872,0.029870686,0.358212498,DOWN
ABRAXAS2,164.0980963,0.538907003,0.248276856,2.170588961,0.029962257,0.358906003,UP
LDHAP2,10.44636593,-1.780913224,0.820689652,-2.170020323,0.030005306,0.359017372,DOWN
TSNAX,413.474379,0.881891465,0.406588096,2.169004635,0.030082332,0.359534568,UP
TSC22D3,11494.23936,0.853850182,0.394167818,2.166209778,0.03029516,0.361671851,UP
KYAT3,216.4536802,0.52219757,0.241121777,2.16570057,0.030334075,0.361730449,UP
LRRC39,8.906793677,-1.271345675,0.587178178,-2.165178685,0.030374004,0.361800986,DOWN
MAPK8IP1,7.866076796,-1.305729956,0.603299661,-2.164314087,0.030440252,0.362184523,DOWN
KIAA1614-AS1,4.488262254,3.580474616,1.6548969,2.163563552,0.030497861,0.362464527,UP
LINC02884,6.386571587,-1.91394584,0.884825184,-2.163077943,0.030535185,0.362503086,DOWN
ENSG00000289727,44.18397592,1.598016474,0.739308402,2.161501844,0.030656595,0.363493061,UP
TOLLIP,1261.244194,0.745933853,0.345162531,2.161109005,0.03068692,0.363493061,UP
ENSG00000225931,15.3455362,-1.855868287,0.859212093,-2.159965277,0.030775358,0.364135128,DOWN
HPN,24.60840032,2.222522062,1.029357831,2.159134554,0.03083973,0.364203998,UP
ENSG00000273243,7.252156877,-2.017834536,0.934774926,-2.158631431,0.030878772,0.364203998,DOWN
RUNX1-AS1,13.17668371,2.128618528,0.986126475,2.158565439,0.030883896,0.364203998,UP
ARPC3,4468.759155,0.874695764,0.405343189,2.157914056,0.030934514,0.364396933,UP
TADA3,868.5362192,0.703150454,0.325932984,2.157346724,0.030978659,0.36451327,UP
RPL37A-DT,7.334771084,1.583891894,0.734710129,2.155805169,0.031098882,0.365523541,UP
PATL2,291.6581199,-1.133839828,0.52632625,-2.154252858,0.031220348,0.365826669,DOWN
FERMT3,6952.847429,0.705477137,0.327552099,2.153786036,0.031256955,0.365826669,UP
ASPHD2,77.14796118,-0.991886019,0.460633876,-2.153306716,0.031294581,0.365826669,DOWN
PYGL,8938.895073,1.621360127,0.753009637,2.153173142,0.031305074,0.365826669,UP
BRK1,1192.851558,0.658525261,0.305872623,2.152939528,0.031323431,0.365826669,UP
PTPRF,27.13265548,-0.950675437,0.441590705,-2.15284295,0.031331023,0.365826669,DOWN
TRNAU1AP,184.7903016,0.620662955,0.28842241,2.151923476,0.031403382,0.366235285,UP
ENSG00000297976,12.95178431,-1.469403145,0.683040234,-2.151268799,0.031454989,0.366235285,DOWN
COPB2,735.1256461,0.822374743,0.382306541,2.151087296,0.03146931,0.366235285,UP
ACAA1,1267.923846,0.888826221,0.413332336,2.150391204,0.031524283,0.366375974,UP
ENSG00000257258,18.89921264,2.147436586,0.998932177,2.149732121,0.03157641,0.366375974,UP
MCF2L,29.49068288,-1.217273914,0.566484025,-2.148823021,0.031648432,0.366375974,DOWN
ZC2HC1A,24.20370968,-1.259962257,0.586399137,-2.148642755,0.03166273,0.366375974,DOWN
